Candidate,Party,State,Office,Incumbency,Result,Total Money
"MISHLER, RYAN D",REPUBLICAN,IN,SENATE DISTRICT 009,Incumbent,Won-General,85022.80
"BISCHOFF, ROBERT J",DEMOCRATIC,IN,HOUSE DISTRICT 068,Incumbent,Won-General,82335.50
"BURTON, CHARLES (WOODY)",REPUBLICAN,IN,HOUSE DISTRICT 058,Incumbent,Won-General,80903.32
"CRAWFORD, WILLIAM A",DEMOCRATIC,IN,HOUSE DISTRICT 098,Incumbent,Won-General,80045.00
"GIAQUINTA, PHIL",DEMOCRATIC,IN,HOUSE DISTRICT 080,Incumbent,Won-General,78061.07
"STEUERWALD, GREGORY E",REPUBLICAN,IN,HOUSE DISTRICT 040,Open,Won-General,77457.37
"YOUNG, R MICHAEL",REPUBLICAN,IN,SENATE DISTRICT 035,Incumbent,Won-General,76505.81
"YODER, CARLIN J",REPUBLICAN,IN,SENATE DISTRICT 012,Open,Won-General,73829.22
"PELATH, SCOTT DOUGLAS",DEMOCRATIC,IN,HOUSE DISTRICT 009,Incumbent,Won-General,73164.00
"STUTZMAN, MARLIN A",REPUBLICAN,IN,HOUSE DISTRICT 052,Incumbent,Withdrew-General,72977.00
"ARNOLD, JIM",DEMOCRATIC,IN,SENATE DISTRICT 008,Incumbent,Won-General,70252.13
"FRIEND, WILLIAM C",REPUBLICAN,IN,HOUSE DISTRICT 023,Incumbent,Won-General,67292.14
"DEKEMPER, STEPHANIE",DEMOCRATIC,IN,HOUSE DISTRICT 092,Challenger,Lost-General,66500.52
"CHERRY, ROBERT W (BOB)",REPUBLICAN,IN,HOUSE DISTRICT 053,Incumbent,Won-General,66348.70
"RICHARDSON, KATHY KREAG",REPUBLICAN,IN,HOUSE DISTRICT 029,Incumbent,Won-General,64214.21
"BRODEN, JOHN EDWARD",DEMOCRATIC,IN,SENATE DISTRICT 010,Incumbent,Won-General,64123.00
"LEONARD, DANIEL J (DAN)",REPUBLICAN,IN,HOUSE DISTRICT 050,Incumbent,Won-General,63300.95
"COCHRAN, WILLIAM CHARLES (BILL)",DEMOCRATIC,IN,HOUSE DISTRICT 072,Incumbent,Lost-General,62339.33
"RUPPEL, WILLIAM J (BILL)",REPUBLICAN,IN,HOUSE DISTRICT 022,Incumbent,Won-General,60871.00
"TORR, GERALD R (JERRY)",REPUBLICAN,IN,HOUSE DISTRICT 039,Incumbent,Won-General,60282.00
"MACKILLOP, MARK",REPUBLICAN,IN,HOUSE DISTRICT 017,Challenger,Lost-General,60178.44
"DERMODY, TOM",REPUBLICAN,IN,HOUSE DISTRICT 020,Incumbent,Won-General,57210.00
"SOLIDAY, EDMUND (ED)",REPUBLICAN,IN,HOUSE DISTRICT 004,Incumbent,Won-General,56877.17
"MCCLAIN, RICHARD W (RICH)",REPUBLICAN,IN,HOUSE DISTRICT 024,Incumbent,Won-General,56157.71
"WELCH, PEGGY M",DEMOCRATIC,IN,HOUSE DISTRICT 060,Incumbent,Won-General,56131.00
"COOLEY, JERRY P",DEMOCRATIC,IN,HOUSE DISTRICT 020,Challenger,Lost-General,55682.72
"COLGLAZIER, MATTHEW S",DEMOCRATIC,IN,SENATE DISTRICT 044,Challenger,Lost-General,53189.35
"CHEATHAM, DAVID",DEMOCRATIC,IN,HOUSE DISTRICT 069,Incumbent,Won-General,53117.89
"FRIZZELL, DAVID N",REPUBLICAN,IN,HOUSE DISTRICT 093,Incumbent,Won-General,51977.00
"CANDELARIA REARDON, MARA",DEMOCRATIC,IN,HOUSE DISTRICT 012,Incumbent,Won-General,51285.03
"DUNCAN, CLEO",REPUBLICAN,IN,HOUSE DISTRICT 067,Incumbent,Won-General,50682.00
"ROBERTSON, PAUL J",DEMOCRATIC,IN,HOUSE DISTRICT 070,Incumbent,Won-General,50599.96
"GRUBB, FLOYD DALE",DEMOCRATIC,IN,HOUSE DISTRICT 042,Incumbent,Won-General,49400.00
"SAUNDERS, THOMAS E (TOM)",REPUBLICAN,IN,HOUSE DISTRICT 054,Incumbent,Won-General,49071.32
"PORTER, GREGORY W",DEMOCRATIC,IN,HOUSE DISTRICT 096,Incumbent,Won-General,48536.40
"WOLKINS, DAVID ALAN",REPUBLICAN,IN,HOUSE DISTRICT 018,Incumbent,Won-General,46894.00
"TARR, BROOK",REPUBLICAN,IN,HOUSE DISTRICT 062,Challenger,Lost-General,46315.15
"WOOD, RICHARD D",DEMOCRATIC,IN,SUPERINTENDENT OF PUBLIC INSTRUCTION,Open,Lost-General,44850.53
"BUCK, JAMES R (JIM)",REPUBLICAN,IN,HOUSE DISTRICT 038,Incumbent,Withdrew-General,44420.23
"LAWSON, LINDA C",DEMOCRATIC,IN,HOUSE DISTRICT 001,Incumbent,Won-General,44280.00
"DVORAK, RYAN MICHAEL",DEMOCRATIC,IN,HOUSE DISTRICT 008,Incumbent,Won-General,42997.67
"NOE, CYNTHIA JEAN",REPUBLICAN,IN,HOUSE DISTRICT 087,Incumbent,Won-General,42659.89
"STUTZMAN, MARLIN A",REPUBLICAN,IN,SENATE DISTRICT 013,Open,Won-General,42411.66
"MOSELEY, CHARLES (CHUCK)",DEMOCRATIC,IN,HOUSE DISTRICT 010,Open,Won-General,42108.50
"ROGERS, EARLINE S",DEMOCRATIC,IN,SENATE DISTRICT 003,Incumbent,Won-General,41875.00
"KOCH, ERIC A",REPUBLICAN,IN,HOUSE DISTRICT 065,Incumbent,Won-General,39125.75
"BATTLES, KREG",DEMOCRATIC,IN,HOUSE DISTRICT 064,Incumbent,Won-General,38785.00
"TAYLOR, GREG",DEMOCRATIC,IN,SENATE DISTRICT 033,Open,Won-General,37985.70
"CLEMENTS, JACQUELINE R (JACQUE)",REPUBLICAN,IN,HOUSE DISTRICT 038,Open,Won-General,37983.56
"BROWN, TIMOTHY N (TIM)",REPUBLICAN,IN,HOUSE DISTRICT 041,Incumbent,Won-General,37425.00
